Sligro;ivp;vp;maat;eh;Sligro artikelomschrijving;prijs;Categorie;Subcategorie;barcode;Leverancier
516409.1;1;st;;;Uien bos naakt;0.81;f;Groenten en fruit dagvers;903;Sligro
87248.1;1;pk;;;Ldpe  80x110 t70 blauw 10rol 20stuks;33.20;o;Afvalzakken;26604237;Sligro
87293.1;1;st;200;gr;Danone huttenkaese;1.43;f;Kaas buitenland verpakt;40097138;Sligro
87227.1;1;st;400;gr;Danone huttenkaese;2.57;f;Kaas buitenland verpakt;40097176;Sligro
675884.1;24;st;57;gr;Bounty melk;0.39;f;Bars en tabletten singles;40111216;Sligro
742657.1;1;st;2.5;kg;Mellona imkerhoning vloeibaar;20.71;f;Boterhamartikelen;40555980;Sligro
398568.1;28;fl;20;cl;Pepsi cola regular, flesje;0.38;d;Frisdranken klein kzh;40608037;Sligro
993847.1;28;fl;20;cl;Pepsi cola light suikerarm, flesje;0.36;d;Frisdranken klein kzh;40608112;Sligro
412066.1;1;pt;370;ml;Kuhne augurkenblokjes zoetzuur;5.32;f;Tafelzuren;40737317;Sligro
19758.1;1;pt;370;ml;Kuhne zilveruitjes zoetzuur;3.90;f;Tafelzuren;40737324;Sligro
930433.1;12;fl;50;cl;Fanta orange regular, petfles;0.85;d;Frisdranken klein kzh;40822938;Sligro
169260.1;1;fl;70;cl;Monkey 47 schwarzwald dry gin;33.66;d;Gedistilleerd;42213277;Sligro
187438.1;12;fl;50;cl;Fanta cassis, petfles;0.85;d;Frisdranken klein kzh;50112753;Sligro
344069.1;12;fl;50;cl;Aquarius lemon, 1-way pet-fles;1.05;d;Frisdranken klein kzh;50112784;Sligro
97808.1;24;fl;20;cl;Schweppes bitter lemon, flesje;0.48;d;Frisdranken klein kzh;50112845;Sligro
227194.1;1;fl;70;cl;Johnnie walker whisky red label 40%;21.25;d;Gedistilleerd;50267026;Sligro
526056.1;12;rp;50;gr;Eat natural almonds & sultanas & hazeln.;1.01;f;Tussendoortjes;50676262;Sligro
975645.1;1;pt;100;gr;Colman engelse mosterd saus;1.66;f;Snack- en tafelsauzen;50824939;Sligro
602344.1;24;fl;30;cl;Hoegaarden wit;0.56;d;Bier speciaal;54018143;Sligro
15330.1;24;fl;33;cl;Palm speciale 24 fles;0.48;d;Bier speciaal;54057012;Sligro
378288.1;28;fl;25;cl;Spa reine glas;0.24;d;Waters;54087149;Sligro
444408.1;28;fl;25;cl;Spa intense;0.25;d;Waters;54087156;Sligro
756672.1;24;fl;50;cl;Coca-cola regular, 1-way pet-fles;0.85;d;Frisdranken klein kzh;54491472;Sligro
454495.1;30;st;43;gr;Ferrero kinder bueno;0.62;f;Bars en tabletten singles;80052760;Sligro
943156.1;18;fl;100;ml;Limonino citroensap;0.43;d;Patisserieprodukten;80169529;Sligro
778726.1;6;pt;45;gr;Drogheria & alimentari zwart peper;1.52;f;Kruiden en specerijen;80273561;Sligro
227872.1;6;pt;35;gr;Drogheria & alimentari 4-seizoenen peper;1.36;f;Kruiden en specerijen;80273592;Sligro
685143.1;6;pt;90;gr;Drogheria & alimentari middell. zeezout;1.39;f;Kruiden en specerijen;80273639;Sligro
