ArtikelID;Omschrijving;Eenheid;Inhoud;Prijs;Barcode;Leverancier;Categorie;Subcategorie;;
22415.2;Maiskolf 2 st/pak;pk;2x;2.75;3281440000196;van halder;f;aardappel groente & fruit;;
45010;Halfvolle melk;pk;1 lt;1.19;1110000450107;van halder;d;zuivel olie & vetten;;
45010.1;Halfvolle melk;pk;1 lt;x;45010;van halder;d;zuivel olie & vetten;;
45011;Karnemelk;pk;1 lt;1.19;1110000450114;van halder;d;zuivel olie & vetten;;
45011.1;Karnemelk;pk;1 lt;x;45011;van halder;d;zuivel olie & vetten;;
45019;Volle melk;pk;1 lt;1.33;1110000450190;van halder;d;zuivel olie & vetten;;
45019.1;Volle melk;pk;1 lt;x;45019;van halder;d;zuivel olie & vetten;;
8712444002534;Kruidenboter rol 8x500gr;rl;500 gr;3.87;8712444000653;havi;f;zuivel olie & vetten;;
EM005;Rolcontainer;st;nvt;100;5;van halder;e;emballage;;
EM006;Tussenschot;sc;nvt;15;6;van halder;e;emballage;;
EM020;CBL fust/Klapkrat zwart;kr;kl/gr;3.86;20;van halder;e;emballage;;
EM021;E3 krat              rood;kr;gr;4.54;21;van halder;e;emballage;;
EM022;Poolkrat groot;kr;kl;3.86;22;van halder;e;emballage;;
HA243381;Scholfilet zw z.v.;ds;5 kg;31.59;;havi;f;vis & visconserven;;
HA243381.1;Scholfilet zw z.v.;ls;1 kg;x/5;;havi;f;vis & visconserven;;
HA243381.2;Scholfilet zw z.v.;ds;5 kg;x;8713456000761;havi;f;vis & visconserven;;
HA451701;Filet americain;ds;18*40 gr;11.82;99076683000301;havi;f;vlees vleeswaren & kaas;;
HA48144;Smoothie appel aardbei;fl;1 lt;3.79;8718096110757;van halder;d;frisdranken;;
HA48145;Smoothie sinaasappel kiwi;fl;1 lt;3.79;8718096120305;van halder;d;frisdranken;;
HA48146;Smoothie mango passievr;fl;1 lt;3.79;8718096120336;van halder;d;frisdranken;;
HA60308;Kip drumsticks;ds;10*1 kg;140.5;9000060308333;havi;f;kip & wild;;
HA60308.1;Kip drumsticks;ls;1 kg;x/10;60308;havi;f;kip & wild;;
HA60323;Kip dijenvlees zonder vel;ds;10 kg;34.5;9000060323333;havi;f;kip & wild;;
HA60323.1;Kip dijenvlees zonder vel;ls;1 kg;x/10;60323;havi;f;kip & wild;;
HA60324;Kip dijenvlees met vel;ds;10 kg;31;9000060324333;havi;f;kip & wild;;
HA60324;Kip dijenvlees met vel;ds;10 kg;31;9000060324333;havi;f;kip & wild;;
HA60324.1;Kip dijenvlees met vel;ls;1 kg;x/10;60324;havi;f;kip & wild;;
HA60406;Rostibroodjes mini;ds;;24.76;9001442223232;havi;f;aardappel groente & fruit;;
HA60406.1;Rostibroodjes mini;ds;;x;60406;havi;f;aardappel groente & fruit;;
HA60406.2;Mini rosti bootjes;zk;1,75 kg;x/4;9001442223225;havi;f;aardappel groente & fruit;;
HA60578;V.Oester met champ saus;bk;;45.11;60578;havi;f;maaltijden & -componenten koel;;
HA60579;Kip dijenvlees met paprika saus;bk;;32.56;60579;havi;f;maaltijden & -componenten koel;;
HA60580;Rundvlees met uienjus;bk;;31.3;60580;havi;f;maaltijden & -componenten koel;;
HA60581;Zalm met hollandse saus;bk;;41.46;60581;havi;f;maaltijden & -componenten koel;;
HA60582;Zalm pangarol met kreeftensaus;bk;;50.36;60582;havi;f;maaltijden & -componenten koel;;
HA60700;Aardappel mini gratin;ds;180 * 50 gr;40.5;4004360103085;havi;f;aardappel groente & fruit;;
HA60700.1;Aardappel mini gratin;ds;180 * 50 gr;x;60700;havi;f;aardappel groente & fruit;;
HA60800;Kip dijsate 180 gr gegaard ;ds;7,2 kg;71.95;8717312094758;havi;f;kip & wild;;
HA60800.1;Kip dijsate 180 gr gegaard ;ls;kg;x/7.2;60800;havi;f;kip & wild;;
HA61101;Gegr kiphaasjes;zk;2,5 kg;0;4004074061987;havi;f;kip & wild;;
HA61279;Danone aardbei;tr;6*2*135gr;4.2;;havi;f;zuivel houdbaar;;
HA61279.1;Danone aardbei;pk;2*135gr;x/6;3033490957230;havi;f;zuivel houdbaar;;
HA61280;Danone naturel;pk;6*2*135gr;4.8;;havi;f;zuivel houdbaar;;
HA61280.1;Danone naturel;pk;2*135gr;x/6;3033490957223;havi;f;zuivel houdbaar;;
HA61281;Danone perzik;pk;6*2*135gr;4.8;;havi;f;zuivel houdbaar;;
HA61281.1;Danone perzik;pk;2*135gr;x/6;3033490957247;havi;f;zuivel houdbaar;;
HA61301;Mini danish mix ;ds;110 st;29;5412632509298;havi;f;brood banket & cereals;;
HA61301.1;Mini danish mix ;ds;110 st;x;61301;havi;f;brood banket & cereals;;
HA61541.1;Jurt. Gruner Veltl 12,5%;fl;75 cl;x/6;9007951107056;havi;d;wijn port sherry & vermouth;;
HA61601;IJS Vanille Ijs suikervry 6x8x100g;ds;6 * 8 * 100 gr;23.4;5410410005840;havi;f;desserts ijs & siropen;;
HA61601.1;IJS Vanille Ijs suikervry ;ds;6 * 8 * 100 gr;x;61601;havi;f;desserts ijs & siropen;;
HA61602;TB Koffie Verkeerd 6x750ml;ds;6 * 750 ml;16.15;5410410006151;havi;f;desserts ijs & siropen;;
