"ArtikelID","Omschrijving","Eenheid","Inhoud","Prijs","Barcode","Leverancier","Categorie","Subcategorie"
"HA243381","Scholfilet zw z.v.","ds","5 kg","31.59","","Bavaria","f","0"
"HA451701","Filet americain","ds","18*40 gr","???.82","9,90767E+13","Bavaria","f","0"
"HA60308","Kip drumsticks","ds","10*1 kg","140.5","9,00006E+12","Bavaria","f","0"
"HA60323","Kip dijenvlees zonder vel","ds","10 kg","34.5","9,00006E+12","Bavaria","f","0"
"HA60324","Kip dijenvlees met vel","ds","10 kg","31","9,00006E+12","Bavaria","f","0"
"HA60324","Kip dijenvlees met vel","ds","10 kg","31","9,00006E+12","Bavaria","f","0"
"HA60406","Rostibroodjes mini","ds","","24.76","9,00144E+12","Bavaria","f","0"
"HA60578","V.Oester met champ saus","bk","","45.11","60578","Bavaria","f","0"
"HA60579","Kip dijenvlees met paprika saus","bk","","32.56","60579","Bavaria","f","0"
"HA60580","Rundvlees met uienjus","bk","","31.???","60580","Bavaria","f","0"
"HA60581","Zalm met hollandse saus","bk","","41.46","60581","Bavaria","f","0"
"HA60582","Zalm pangarol met kreeftensaus","bk","","50.36","60582","Bavaria","f","0"
"HA60700","Aardappel mini gratin","ds","180 * 50 gr","40.5","4,00436E+12","Bavaria","f","0"
"HA60800","Kip dijsate 180 gr gegaard","ds","7,2 kg","71.95","8,71731E+12","Bavaria","f","0"
"HA61101","Gegr kiphaasjes","zk","2,5 kg","0","4,00407E+12","Bavaria","f","0"
"HA61279","Danone aardbei","tr","6*2*135gr","04.???","","Bavaria","f","0"
"HA61280","Danone naturel","pk","6*2*135gr","04.???","","Bavaria","f","0"
"HA61281","Danone perzik","pk","6*2*135gr","04.???","","Bavaria","f","0"
"HA61301","Mini danish mix","ds","110 st","29","5,41263E+12","Bavaria","f","0"
"HA61601","IJS Vanille Ijs suikervry 6x8x100g","ds","6 * 8 * 100 gr","23.???","5,41041E+12","Bavaria","f","0"
"HA61602","TB Koffie Verkeerd 6x750ml","ds","6 * 750 ml","16.15","5,41041E+12","Bavaria","f","0"
"HA61603","TB Hollandse Chipolata 6x750ml","ds","6 * 750 ml","15.???","5,41041E+12","Bavaria","f","0"
"HA61604","TB Zaanse Cacao 6x750ml","ds","6 * 750 ml","15.???","5,41041E+12","Bavaria","f","0"
"HA61605","TB Haagse Bitterkoekjes 6x750","ds","6 * 750 ml","15.???","5,41041E+12","Bavaria","f","0"
"HA61606","TB Brab. Aardbeien TB 6x750ml","ds","6 * 750 ml","15.???","5,41041E+12","Bavaria","f","0"
"HA61607","TB Appeltaart Gr.moeders TB 6x750","ds","6 * 750 ml","16.15","5,41041E+12","Bavaria","f","0"
"HA61608","TB Goudse stroopwafel 6x750ml","ds","6 * 750 ml","16.15","5,41041E+12","Bavaria","f","0"
"HA61609","TB Hangop m. frambozen 6x750ml","ds","6 * 750 ml","16.15","5,41041E+12","Bavaria","f","0"
"HA61610","IJs Mokka Roomijs 5l BA","bk","5 lt","???.99","5,41041E+12","Bavaria","f","0"
"HA61611","IJs Rum Rozijnen Caddy Gelato BA","bk","5 lt","???.95","5,41041E+12","Bavaria","f","0"
"HA61612","IJs Stracciatella Roomijs 5l","bk","5 lt","???.75","5,41041E+12","Bavaria","f","0"
"HA61613","IJs Chocolade ijs 5l","bk","5 lt","???.99","5,41041E+12","Bavaria","f","0"
"HA61614","IJs Pistache ijs 5l","bk","5 lt","???.99","5,41041E+12","Bavaria","f","0"
"HA61616","IJs Vanille ijs Valk 5l","bk","5 lt","???.49","5,41041E+12","Bavaria","f","0"
"HA61617","IJs Aardbei ijs 5l","bk","5 lt","???.99","5,41041E+12","Bavaria","f","0"
"HA61618","IJs Banaan ijs 5l","bk","5 lt","???.99","5,41041E+12","Bavaria","f","0"
"HA61619","IJs Ronde ijstaart vanille 3x1,5Lt","ds","3 * 1,5 lt","13.21","5,41041E+12","Bavaria","f","0"
"HA61620","IJs Nougatine ijstaart 3x1,5 lt","ds","3 * 1,5 lt","13.21","5,41041E+12","Bavaria","f","0"
"HA61621","IJs Cassata 4x1,5 lt","ds","4 * 1,5 lt","23.99","8,71135E+12","Bavaria","f","0"
"HA61622","Zaanse cacao spuitzak 4x1,5 lt","ds","4 * 1,5 lt","15.65","5,41041E+12","Bavaria","f","0"
"HA61623","Bitterkoekjes spuitzak 4x1,5Lt","ds","4 * 1,5 lt","15.65","5,41041E+12","Bavaria","f","0"
"HA61624","IJs Kaneel roomijs 5l","bk","5 lt","???.99","5,41041E+12","Bavaria","f","0"
"HA61639","IJs Hazelnoot Ijs Gelato Antonio","ds","5 lt","???.99","5,41041E+12","Bavaria","f","0"
"HA61700","Bloemkool 35-60mm 4x2.5kg","ds","4 * 2,5 kg","???.95","8,71082E+12","Bavaria","f","0"
"HA61701","Gebroken Bonen 3-4 cm 4x2.5kg","ds","4 * 2,5 kg","???.95","8,71082E+12","Bavaria","f","0"
"HA61702","Hele bonen 8-9 mm 4x2.5kg","ds","4 * 2,5 kg","10.???","8,71082E+12","Bavaria","f","0"
"HA61704","Tuinbonen 16-22mm fijn 4x2.5kg","ds","4 * 2,5 kg","16.???","8,71082E+12","Bavaria","f","0"
"HA61705","Broccoli 30-50mm IQF 2x2.5kg","ds","2 * 2,5 kg","???.75","8,71082E+12","Bavaria","f","0"
"HA61707","Paprikastrips rd/gn 5mm4x2.5kg","ds","4 * 2,5 kg","13.65","8,71082E+12","Bavaria","f","0"
"HA61708","Schorseneren 3-5cm 4x2.5kg","ds","4 * 2,5 kg","21.???","8,71082E+12","Bavaria","f","0"
"HA61709","Broccoli mix","ds","4 * 2,5 kg","13.???","8,71082E+12","Bavaria","f","0"
"HA61710","Wortel wedges 4x2.5kg","ds","4 * 2,5 kg","10.???","8,71082E+12","Bavaria","f","0"
"HA61711","Bladspinazie gep.60gr 4x2.5kg","ds","4 * 2,5 kg","???.99","8,71082E+12","Bavaria","f","0"
"HA61712","Zure kersen zonder pit 2x2.5kg","ds","2 * 2,5 kg","13.61","8,71082E+12","Bavaria","f","0"
"HA61713","Bosvruchten mix 2x2.5kg","ds","2 * 2,5 kg","15.51","8,71082E+12","Bavaria","f","0"
"HA61714","Mexico mix 4x2.5kg","ds","4 * 2,5 kg","???.95","8,71082E+12","Bavaria","f","0"
"HA61715","Euro-mix 4x2.5kg","ds","4 * 2,5 kg","13.75","8,71082E+12","Bavaria","f","0"
"HA61719","Rodekool met appel 4x2.5kg","ds","4 * 2,5 kg","12.???","8,71082E+12","Bavaria","f","0"
"HA61720","Erwten extra Fijn<7.5mm4x2.5kg","ds","4 * 2,5 kg","13.???","8,71082E+12","Bavaria","f","0"
"HA61721","Waspeen gesneden6-14mm 4x2.5kg","ds","4 * 2,5 kg","09.???","8,71082E+12","Bavaria","f","0"
"HA61722","Boerenkool Portie 4x2.5kg BA","ds","4 * 2,5 kg","???.86","8,71082E+12","Bavaria","f","0"
"HA61723","Spruiten 25-32 4x 2.5 kg","ds","4 * 2,5 kg","10.???","8,71082E+12","Bavaria","f","0"
"HA61727","Hele bonen extrafijn 7,5mm 5kg","ds","5 kg","???.88","8,71082E+12","Bavaria","f","0"
"HA61728","Bloemkool Oerlemans","zk","2,5 kg","0","61728","Bavaria","f","0"
"HA61728","Oerlemans bloemkool","ds","2*2,5 kg","???.49","8,71082E+12","Bavaria","f","0"
"HA61729","Oerlemans romanesco","ds","5 kg","0","","Bavaria","f","0"
"HA61800","Pain parisien wit18x400g stokb","ds","18 * 400 gr","???.33","8,71797E+12","Bavaria","f","0"
"HA61801","Baguette wit 28x250gr","ds","28 * 250 gr","???.49","8,71797E+12","Bavaria","f","0"
"HA61806","Kaiserbroodje sesam 100x65gr","ds","100 * 65 gr","???.97","8,71797E+12","Bavaria","f","0"
"HA61809","Schnittbrotchen bruin","ds","100 * 65 gr","08.???","8,71797E+12","Bavaria","f","0"
"HA61810","Italiaanse bol","ds","8 zak","???.49","8,71026E+12","Bavaria","f","0"
"HA61812","Mini assorti luxe 180x35gr","ds","180 * 35 gr","16.???","8,71797E+12","Bavaria","f","0"
"HA61813","Panini tuinkruiden 63x110gr BA","ds","63 * 110 gr","16.55","8,71797E+12","Bavaria","f","0"
"HA61815","Kaiserbroodje wit 100x65gr","ds","100 * 65 gr","???.95","8,71797E+12","Bavaria","f","0"
"HA61816","Volgranenbol 60x100gr","ds","60 * 100 gr","16.35","8,71797E+12","Bavaria","f","0"
"HA61817","Milano broodje 64x100gr BA","ds","64 * 100 gr","17.???","8,71797E+12","Bavaria","f","0"
"HA61823","Mini assorti Bakzak 4x 30*35gr","ds","4 * 30 * 35 gr","15.75","8,71797E+12","Bavaria","f","0"
"HA61824","Desem vloerbr wit 9x800gr BA","ds","9 * 800 gr","17.???","8,71797E+12","Bavaria","f","0"
"HA61825","Desem vloerbr donker 9x800g BA","ds","9 * 800 gr","18.???","8,71797E+12","Bavaria","f","0"
"HA61828","Vloerbroodje Rustique 48x110g","ds","48 * 110 gr","???.25","8,71797E+12","Bavaria","f","0"
"HA61829","Focaccia naturel 29x39cm 8x750","ds","29 * 39 cm","24.99","8,71797E+12","Bavaria","f","0"
"HA61830","Focaccia meergr. 29x39cm 8x750","ds","29 * 39 cm","24.99","8,71797E+12","Bavaria","f","0"
"HA61831","Desem bol 60x100gr","ds","60 * 100 gr","23.???","8,7179E+12","Bavaria","f","0"
"HA61832","Danvo petit pain bruin","ds","24*80 gr","???.66","8,71797E+12","Bavaria","f","0"
"HA61833","Danvo petit pain wit","ds","24*80 gr","???.66","8,71797E+12","Bavaria","f","0"
"HA61834","Mini italiano bolletje","ds","180*35 gr","16.49","8,71797E+12","Bavaria","f","0"
"HA61835","Mini meergranen bolletje","ds","180*35 gr","16.49","8,71797E+12","Bavaria","f","0"
"HA61836","Joepies hartig","ds","180 * 15 gr","22.22","8,71926E+12","Bavaria","f","0"
"HA61837","Joepies zoet","ds","180 * 15 gr","22.22","8,71926E+12","Bavaria","f","0"
"HA61839","Dough frisse witte","ds","5 st","16.65","8,71797E+12","Bavaria","f","0"
"HA61841","Stoere donker","ds","5 * 1400 gr","16.65","8,71797E+12","Bavaria","f","0"
"HA61900","Forel 240-260gr BA","ds","5 kg","22.76","9,00006E+12","Bavaria","f","0"
"HA61901","Roodbaars filets 180- 220gr 5kg","ds","5 kg","30.32","8,71759E+12","Bavaria","f","0"
"HA61903","Tilapia filets 140-200gr 10x1kg","ds","10 * 1 kg","51.19","5,02789E+12","Bavaria","f","0"
"HA61904","Botervissteaks 180/220gr BA","ds","10 * 1 kg","98.08","8,71731E+12","Bavaria","f","0"
"HA61905","Tonijn steaks 180/200gr 10kg","ds","10 kg","83.3","8,71731E+12","Bavaria","f","0"
"HA61906","Garnaal chili 200/300 4x2,5kg","ds","4 * 2,5 kg","213.56","94413","Bavaria","f","0"
"HA61907","Pangasius fil.HM 170/220 10x1kg","ds","10 * 1 kg","27.73","8,71731E+12","Bavaria","f","0"
"HA61911","Garnaal knoflook 16/20 10kg.","ds","10 kg","172.76","8,71391E+12","Bavaria","f","0"
"HA61912","Kreeft popsicle 10x300g BA","ds","10 * 300 gr","65.46","9,00006E+12","Bavaria","f","0"
"HA61913","Zeeduivel Lotte Fil100/200g BA","ds","5 kg","107.1","9E+12","Bavaria","f","0"
"HA61914","Garnaal BT Hoso 8/12","ds","10 kg","190.62","8,71785E+12","Bavaria","f","0"
"HA61920","Forel filet gerookt","ds","100 * 100 gr","119","8,71731E+12","Bavaria","f","0"
"HA62000","Zalm snippers ger. High Seas","ds","","77.36","8,71346E+12","Bavaria","f","0"
"HA62001","Scholfilet ZH 5kg","ds","5 kg","35.03","8,71346E+12","Bavaria","f","0"
"HA62003","Tong slib 5kg","ds","5 kg","54.75","8,71734E+12","Bavaria","f","0"
"HA62006","Zalm zijde Noors ger/ges +-12k","ds","12 kg","197.76","2,33115E+12","Bavaria","f","0"
"HA62008","Zalm porties Noors 200gr 5kg","ds","5 kg","64.63","8,71346E+12","Bavaria","f","0"
